# Histogram   
# Time        	binMidPoints  	dataCounts    	dataValues    
3.400000e-02	4.100000e+00	0	0.000000e+00
3.400000e-02	4.300000e+00	0	0.000000e+00
3.400000e-02	4.500000e+00	0	0.000000e+00
3.400000e-02	4.700000e+00	0	0.000000e+00
3.400000e-02	4.900000e+00	0	0.000000e+00
3.400000e-02	5.100000e+00	0	0.000000e+00
3.400000e-02	5.300000e+00	0	0.000000e+00
3.400000e-02	5.500000e+00	0	0.000000e+00
3.400000e-02	5.700000e+00	0	0.000000e+00
3.400000e-02	5.900000e+00	0	0.000000e+00
3.400000e-02	6.100000e+00	0	0.000000e+00
3.400000e-02	6.300000e+00	0	0.000000e+00
3.400000e-02	6.500000e+00	0	0.000000e+00
3.400000e-02	6.700000e+00	0	0.000000e+00
3.400000e-02	6.900000e+00	0	0.000000e+00
3.400000e-02	7.100000e+00	0	0.000000e+00
3.400000e-02	7.300000e+00	0	0.000000e+00
3.400000e-02	7.500000e+00	0	0.000000e+00
3.400000e-02	7.700000e+00	0	0.000000e+00
3.400000e-02	7.900000e+00	0	0.000000e+00
3.400000e-02	8.100000e+00	0	0.000000e+00
3.400000e-02	8.300000e+00	0	0.000000e+00
3.400000e-02	8.500000e+00	0	0.000000e+00
3.400000e-02	8.700000e+00	0	0.000000e+00
3.400000e-02	8.900000e+00	0	0.000000e+00
3.400000e-02	9.100000e+00	0	0.000000e+00
3.400000e-02	9.300000e+00	0	0.000000e+00
3.400000e-02	9.500000e+00	0	0.000000e+00
3.400000e-02	9.700000e+00	0	0.000000e+00
3.400000e-02	9.900000e+00	0	0.000000e+00
3.600000e-02	9.900000e+00	0	0.000000e+00
3.600000e-02	9.700000e+00	0	0.000000e+00
3.600000e-02	9.500000e+00	0	0.000000e+00
3.600000e-02	9.300000e+00	0	0.000000e+00
3.600000e-02	9.100000e+00	0	0.000000e+00
3.600000e-02	8.900000e+00	0	0.000000e+00
3.600000e-02	8.700000e+00	0	0.000000e+00
3.600000e-02	8.500000e+00	0	0.000000e+00
3.600000e-02	8.300000e+00	0	0.000000e+00
3.600000e-02	8.100000e+00	0	0.000000e+00
3.600000e-02	7.900000e+00	0	0.000000e+00
3.600000e-02	7.700000e+00	0	0.000000e+00
3.600000e-02	7.500000e+00	0	0.000000e+00
3.600000e-02	7.300000e+00	0	0.000000e+00
3.600000e-02	7.100000e+00	0	0.000000e+00
3.600000e-02	6.900000e+00	0	0.000000e+00
3.600000e-02	6.700000e+00	0	0.000000e+00
3.600000e-02	6.500000e+00	0	0.000000e+00
3.600000e-02	6.300000e+00	0	0.000000e+00
3.600000e-02	6.100000e+00	0	0.000000e+00
3.600000e-02	5.900000e+00	0	0.000000e+00
3.600000e-02	5.700000e+00	0	0.000000e+00
3.600000e-02	5.500000e+00	0	0.000000e+00
3.600000e-02	5.300000e+00	0	0.000000e+00
3.600000e-02	5.100000e+00	0	0.000000e+00
3.600000e-02	4.900000e+00	0	0.000000e+00
3.600000e-02	4.700000e+00	0	0.000000e+00
3.600000e-02	4.500000e+00	0	0.000000e+00
3.600000e-02	4.300000e+00	0	0.000000e+00
3.600000e-02	4.100000e+00	0	0.000000e+00
3.600000e-02	3.900000e+00	0	0.000000e+00
3.600000e-02	3.700000e+00	0	0.000000e+00
3.600000e-02	3.500000e+00	0	0.000000e+00
3.600000e-02	3.300000e+00	0	0.000000e+00
3.600000e-02	3.100000e+00	0	0.000000e+00
3.600000e-02	2.900000e+00	0	0.000000e+00
3.600000e-02	2.700000e+00	0	0.000000e+00
3.600000e-02	2.500000e+00	0	0.000000e+00
3.600000e-02	2.300000e+00	0	0.000000e+00
3.600000e-02	2.100000e+00	0	0.000000e+00
3.600000e-02	1.900000e+00	0	0.000000e+00
3.600000e-02	1.700000e+00	0	0.000000e+00
3.600000e-02	1.500000e+00	0	0.000000e+00
3.600000e-02	1.300000e+00	0	0.000000e+00
3.600000e-02	1.100000e+00	0	0.000000e+00
3.600000e-02	9.000000e-01	0	0.000000e+00
3.600000e-02	7.000000e-01	0	0.000000e+00
3.600000e-02	5.000000e-01	0	0.000000e+00
3.600000e-02	3.000000e-01	0	0.000000e+00
3.600000e-02	1.000000e-01	0	0.000000e+00
3.600000e-02	1.000000e-01	321088	1.000000e+00
3.600000e-02	3.000000e-01	0	0.000000e+00
3.600000e-02	5.000000e-01	0	0.000000e+00
3.600000e-02	7.000000e-01	0	0.000000e+00
3.600000e-02	9.000000e-01	0	0.000000e+00
3.600000e-02	1.100000e+00	0	0.000000e+00
3.600000e-02	1.300000e+00	0	0.000000e+00
3.600000e-02	1.500000e+00	0	0.000000e+00
3.600000e-02	1.700000e+00	0	0.000000e+00
3.600000e-02	1.900000e+00	0	0.000000e+00
3.600000e-02	2.100000e+00	0	0.000000e+00
3.600000e-02	2.300000e+00	0	0.000000e+00
3.600000e-02	2.500000e+00	0	0.000000e+00
3.600000e-02	2.700000e+00	0	0.000000e+00
3.600000e-02	2.900000e+00	0	0.000000e+00
3.600000e-02	3.100000e+00	0	0.000000e+00
3.600000e-02	3.300000e+00	0	0.000000e+00
3.600000e-02	3.500000e+00	0	0.000000e+00
3.600000e-02	3.700000e+00	0	0.000000e+00
3.600000e-02	3.900000e+00	0	0.000000e+00
3.600000e-02	4.100000e+00	0	0.000000e+00
3.600000e-02	4.300000e+00	0	0.000000e+00
3.600000e-02	4.500000e+00	0	0.000000e+00
3.600000e-02	4.700000e+00	0	0.000000e+00
3.600000e-02	4.900000e+00	0	0.000000e+00
3.600000e-02	5.100000e+00	0	0.000000e+00
3.600000e-02	5.300000e+00	0	0.000000e+00
3.600000e-02	5.500000e+00	0	0.000000e+00
3.600000e-02	5.700000e+00	0	0.000000e+00
3.600000e-02	5.900000e+00	0	0.000000e+00
3.600000e-02	6.100000e+00	0	0.000000e+00
3.600000e-02	6.300000e+00	0	0.000000e+00
3.600000e-02	6.500000e+00	0	0.000000e+00
3.600000e-02	6.700000e+00	0	0.000000e+00
3.600000e-02	6.900000e+00	0	0.000000e+00
3.600000e-02	7.100000e+00	0	0.000000e+00
3.600000e-02	7.300000e+00	0	0.000000e+00
3.600000e-02	7.500000e+00	0	0.000000e+00
3.600000e-02	7.700000e+00	0	0.000000e+00
3.600000e-02	7.900000e+00	0	0.000000e+00
3.600000e-02	8.100000e+00	0	0.000000e+00
3.600000e-02	8.300000e+00	0	0.000000e+00
3.600000e-02	8.500000e+00	0	0.000000e+00
3.600000e-02	8.700000e+00	0	0.000000e+00
3.600000e-02	8.900000e+00	0	0.000000e+00
3.600000e-02	9.100000e+00	0	0.000000e+00
3.600000e-02	9.300000e+00	0	0.000000e+00
3.600000e-02	9.500000e+00	0	0.000000e+00
3.600000e-02	9.700000e+00	0	0.000000e+00
3.600000e-02	9.900000e+00	0	0.000000e+00
3.800000e-02	9.900000e+00	0	0.000000e+00
3.800000e-02	9.700000e+00	0	0.000000e+00
3.800000e-02	9.500000e+00	0	0.000000e+00
3.800000e-02	9.300000e+00	0	0.000000e+00
3.800000e-02	9.100000e+00	0	0.000000e+00
3.800000e-02	8.900000e+00	0	0.000000e+00
3.800000e-02	8.700000e+00	0	0.000000e+00
3.800000e-02	8.500000e+00	0	0.000000e+00
3.800000e-02	8.300000e+00	0	0.000000e+00
3.800000e-02	8.100000e+00	0	0.000000e+00
3.800000e-02	7.900000e+00	0	0.000000e+00
3.800000e-02	7.700000e+00	0	0.000000e+00
3.800000e-02	7.500000e+00	0	0.000000e+00
3.800000e-02	7.300000e+00	0	0.000000e+00
3.800000e-02	7.100000e+00	0	0.000000e+00
3.800000e-02	6.900000e+00	0	0.000000e+00
3.800000e-02	6.700000e+00	0	0.000000e+00
3.800000e-02	6.500000e+00	0	0.000000e+00
3.800000e-02	6.300000e+00	0	0.000000e+00
3.800000e-02	6.100000e+00	0	0.000000e+00
3.800000e-02	5.900000e+00	0	0.000000e+00
3.800000e-02	5.700000e+00	0	0.000000e+00
3.800000e-02	5.500000e+00	0	0.000000e+00
3.800000e-02	5.300000e+00	0	0.000000e+00
3.800000e-02	5.100000e+00	0	0.000000e+00
3.800000e-02	4.900000e+00	0	0.000000e+00
3.800000e-02	4.700000e+00	0	0.000000e+00
3.800000e-02	4.500000e+00	0	0.000000e+00
3.800000e-02	4.300000e+00	0	0.000000e+00
3.800000e-02	4.100000e+00	0	0.000000e+00
3.800000e-02	3.900000e+00	0	0.000000e+00
3.800000e-02	3.700000e+00	0	0.000000e+00
3.800000e-02	3.500000e+00	0	0.000000e+00
3.800000e-02	3.300000e+00	0	0.000000e+00
3.800000e-02	3.100000e+00	0	0.000000e+00
3.800000e-02	2.900000e+00	0	0.000000e+00
3.800000e-02	2.700000e+00	0	0.000000e+00
3.800000e-02	2.500000e+00	0	0.000000e+00
3.800000e-02	2.300000e+00	0	0.000000e+00
3.800000e-02	2.100000e+00	0	0.000000e+00
3.800000e-02	1.900000e+00	0	0.000000e+00
3.800000e-02	1.700000e+00	0	0.000000e+00
3.800000e-02	1.500000e+00	0	0.000000e+00
3.800000e-02	1.300000e+00	0	0.000000e+00
3.800000e-02	1.100000e+00	0	0.000000e+00
3.800000e-02	9.000000e-01	0	0.000000e+00
3.800000e-02	7.000000e-01	0	0.000000e+00
3.800000e-02	5.000000e-01	0	0.000000e+00
3.800000e-02	3.000000e-01	0	0.000000e+00
3.800000e-02	1.000000e-01	0	0.000000e+00
3.800000e-02	1.000000e-01	321088	1.000000e+00
3.800000e-02	3.000000e-01	0	0.000000e+00
3.800000e-02	5.000000e-01	0	0.000000e+00
3.800000e-02	7.000000e-01	0	0.000000e+00
3.800000e-02	9.000000e-01	0	0.000000e+00
3.800000e-02	1.100000e+00	0	0.000000e+00
3.800000e-02	1.300000e+00	0	0.000000e+00
3.800000e-02	1.500000e+00	0	0.000000e+00
3.800000e-02	1.700000e+00	0	0.000000e+00
3.800000e-02	1.900000e+00	0	0.000000e+00
3.800000e-02	2.100000e+00	0	0.000000e+00
3.800000e-02	2.300000e+00	0	0.000000e+00
3.800000e-02	2.500000e+00	0	0.000000e+00
3.800000e-02	2.700000e+00	0	0.000000e+00
3.800000e-02	2.900000e+00	0	0.000000e+00
3.800000e-02	3.100000e+00	0	0.000000e+00
3.800000e-02	3.300000e+00	0	0.000000e+00
3.800000e-02	3.500000e+00	0	0.000000e+00
3.800000e-02	3.700000e+00	0	0.000000e+00
3.800000e-02	3.900000e+00	0	0.000000e+00
3.800000e-02	4.100000e+00	0	0.000000e+00
3.800000e-02	4.300000e+00	0	0.000000e+00
3.800000e-02	4.500000e+00	0	0.000000e+00
3.800000e-02	4.700000e+00	0	0.000000e+00
3.800000e-02	4.900000e+00	0	0.000000e+00
3.800000e-02	5.100000e+00	0	0.000000e+00
3.800000e-02	5.300000e+00	0	0.000000e+00
3.800000e-02	5.500000e+00	0	0.000000e+00
3.800000e-02	5.700000e+00	0	0.000000e+00
3.800000e-02	5.900000e+00	0	0.000000e+00
3.800000e-02	6.100000e+00	0	0.000000e+00
3.800000e-02	6.300000e+00	0	0.000000e+00
3.800000e-02	6.500000e+00	0	0.000000e+00
3.800000e-02	6.700000e+00	0	0.000000e+00
3.800000e-02	6.900000e+00	0	0.000000e+00
3.800000e-02	7.100000e+00	0	0.000000e+00
3.800000e-02	7.300000e+00	0	0.000000e+00
3.800000e-02	7.500000e+00	0	0.000000e+00
3.800000e-02	7.700000e+00	0	0.000000e+00
3.800000e-02	7.900000e+00	0	0.000000e+00
3.800000e-02	8.100000e+00	0	0.000000e+00
3.800000e-02	8.300000e+00	0	0.000000e+00
3.800000e-02	8.500000e+00	0	0.000000e+00
3.800000e-02	8.700000e+00	0	0.000000e+00
3.800000e-02	8.900000e+00	0	0.000000e+00
3.800000e-02	9.100000e+00	0	0.000000e+00
3.800000e-02	9.300000e+00	0	0.000000e+00
3.800000e-02	9.500000e+00	0	0.000000e+00
3.800000e-02	9.700000e+00	0	0.000000e+00
3.800000e-02	9.900000e+00	0	0.000000e+00
4.000000e-02	9.900000e+00	0	0.000000e+00
4.000000e-02	9.700000e+00	0	0.000000e+00
4.000000e-02	9.500000e+00	0	0.000000e+00
4.000000e-02	9.300000e+00	0	0.000000e+00
4.000000e-02	9.100000e+00	0	0.000000e+00
4.000000e-02	8.900000e+00	0	0.000000e+00
4.000000e-02	8.700000e+00	0	0.000000e+00
4.000000e-02	8.500000e+00	0	0.000000e+00
4.000000e-02	8.300000e+00	0	0.000000e+00
4.000000e-02	8.100000e+00	0	0.000000e+00
4.000000e-02	7.900000e+00	0	0.000000e+00
4.000000e-02	7.700000e+00	0	0.000000e+00
4.000000e-02	7.500000e+00	0	0.000000e+00
4.000000e-02	7.300000e+00	0	0.000000e+00
4.000000e-02	7.100000e+00	0	0.000000e+00
4.000000e-02	6.900000e+00	0	0.000000e+00
4.000000e-02	6.700000e+00	0	0.000000e+00
4.000000e-02	6.500000e+00	0	0.000000e+00
4.000000e-02	6.300000e+00	0	0.000000e+00
4.000000e-02	6.100000e+00	0	0.000000e+00
4.000000e-02	5.900000e+00	0	0.000000e+00
4.000000e-02	5.700000e+00	0	0.000000e+00
4.000000e-02	5.500000e+00	0	0.000000e+00
4.000000e-02	5.300000e+00	0	0.000000e+00
4.000000e-02	5.100000e+00	0	0.000000e+00
4.000000e-02	4.900000e+00	0	0.000000e+00
4.000000e-02	4.700000e+00	0	0.000000e+00
4.000000e-02	4.500000e+00	0	0.000000e+00
4.000000e-02	4.300000e+00	0	0.000000e+00
4.000000e-02	4.100000e+00	0	0.000000e+00
4.000000e-02	3.900000e+00	0	0.000000e+00
4.000000e-02	3.700000e+00	0	0.000000e+00
4.000000e-02	3.500000e+00	0	0.000000e+00
4.000000e-02	3.300000e+00	0	0.000000e+00
4.000000e-02	3.100000e+00	0	0.000000e+00
4.000000e-02	2.900000e+00	0	0.000000e+00
4.000000e-02	2.700000e+00	0	0.000000e+00
4.000000e-02	2.500000e+00	0	0.000000e+00
4.000000e-02	2.300000e+00	0	0.000000e+00
4.000000e-02	2.100000e+00	0	0.000000e+00
4.000000e-02	1.900000e+00	0	0.000000e+00
4.000000e-02	1.700000e+00	0	0.000000e+00
4.000000e-02	1.500000e+00	0	0.000000e+00
4.000000e-02	1.300000e+00	0	0.000000e+00
4.000000e-02	1.100000e+00	0	0.000000e+00
4.000000e-02	9.000000e-01	0	0.000000e+00
4.000000e-02	7.000000e-01	0	0.000000e+00
4.000000e-02	5.000000e-01	0	0.000000e+00
4.000000e-02	3.000000e-01	0	0.000000e+00
4.000000e-02	1.000000e-01	321087	9.999984e-01
4.000000e-02	1.000000e-01	1	1.566826e-06
4.000000e-02	3.000000e-01	0	0.000000e+00
4.000000e-02	5.000000e-01	0	0.000000e+00
4.000000e-02	7.000000e-01	0	0.000000e+00
4.000000e-02	9.000000e-01	0	0.000000e+00
4.000000e-02	1.100000e+00	0	0.000000e+00
4.000000e-02	1.300000e+00	0	0.000000e+00
4.000000e-02	1.500000e+00	0	0.000000e+00
4.000000e-02	1.700000e+00	0	0.000000e+00
4.000000e-02	1.900000e+00	0	0.000000e+00
4.000000e-02	2.100000e+00	0	0.000000e+00
4.000000e-02	2.300000e+00	0	0.000000e+00
4.000000e-02	2.500000e+00	0	0.000000e+00
4.000000e-02	2.700000e+00	0	0.000000e+00
4.000000e-02	2.900000e+00	0	0.000000e+00
4.000000e-02	3.100000e+00	0	0.000000e+00
4.000000e-02	3.300000e+00	0	0.000000e+00
4.000000e-02	3.500000e+00	0	0.000000e+00
4.000000e-02	3.700000e+00	0	0.000000e+00
4.000000e-02	3.900000e+00	0	0.000000e+00
4.000000e-02	4.100000e+00	0	0.000000e+00
4.000000e-02	4.300000e+00	0	0.000000e+00
4.000000e-02	4.500000e+00	0	0.000000e+00
4.000000e-02	4.700000e+00	0	0.000000e+00
4.000000e-02	4.900000e+00	0	0.000000e+00
4.000000e-02	5.100000e+00	0	0.000000e+00
4.000000e-02	5.300000e+00	0	0.000000e+00
4.000000e-02	5.500000e+00	0	0.000000e+00
4.000000e-02	5.700000e+00	0	0.000000e+00
4.000000e-02	5.900000e+00	0	0.000000e+00
4.000000e-02	6.100000e+00	0	0.000000e+00
4.000000e-02	6.300000e+00	0	0.000000e+00
4.000000e-02	6.500000e+00	0	0.000000e+00
4.000000e-02	6.700000e+00	0	0.000000e+00
4.000000e-02	6.900000e+00	0	0.000000e+00
4.000000e-02	7.100000e+00	0	0.000000e+00
4.000000e-02	7.300000e+00	0	0.000000e+00
4.000000e-02	7.500000e+00	0	0.000000e+00
4.000000e-02	7.700000e+00	0	0.000000e+00
4.000000e-02	7.900000e+00	0	0.000000e+00
4.000000e-02	8.100000e+00	0	0.000000e+00
4.000000e-02	8.300000e+00	0	0.000000e+00
4.000000e-02	8.500000e+00	0	0.000000e+00
4.000000e-02	8.700000e+00	0	0.000000e+00
4.000000e-02	8.900000e+00	0	0.000000e+00
4.000000e-02	9.100000e+00	0	0.000000e+00
4.000000e-02	9.300000e+00	0	0.000000e+00
4.000000e-02	9.500000e+00	0	0.000000e+00
4.000000e-02	9.700000e+00	0	0.000000e+00
4.000000e-02	9.900000e+00	0	0.000000e+00
4.200000e-02	9.900000e+00	0	0.000000e+00
4.200000e-02	9.700000e+00	0	0.000000e+00
4.200000e-02	9.500000e+00	0	0.000000e+00
4.200000e-02	9.300000e+00	0	0.000000e+00
4.200000e-02	9.100000e+00	0	0.000000e+00
4.200000e-02	8.900000e+00	0	0.000000e+00
4.200000e-02	8.700000e+00	0	0.000000e+00
4.200000e-02	8.500000e+00	0	0.000000e+00
4.200000e-02	8.300000e+00	0	0.000000e+00
4.200000e-02	8.100000e+00	0	0.000000e+00
4.200000e-02	7.900000e+00	0	0.000000e+00
4.200000e-02	7.700000e+00	0	0.000000e+00
4.200000e-02	7.500000e+00	0	0.000000e+00
4.200000e-02	7.300000e+00	0	0.000000e+00
4.200000e-02	7.100000e+00	0	0.000000e+00
4.200000e-02	6.900000e+00	0	0.000000e+00
4.200000e-02	6.700000e+00	0	0.000000e+00
4.200000e-02	6.500000e+00	0	0.000000e+00
4.200000e-02	6.300000e+00	0	0.000000e+00
4.200000e-02	6.100000e+00	0	0.000000e+00
4.200000e-02	5.900000e+00	0	0.000000e+00
4.200000e-02	5.700000e+00	0	0.000000e+00
4.200000e-02	5.500000e+00	0	0.000000e+00
4.200000e-02	5.300000e+00	0	0.000000e+00
4.200000e-02	5.100000e+00	0	0.000000e+00
4.200000e-02	4.900000e+00	0	0.000000e+00
4.200000e-02	4.700000e+00	0	0.000000e+00
4.200000e-02	4.500000e+00	0	0.000000e+00
4.200000e-02	4.300000e+00	0	0.000000e+00
4.200000e-02	4.100000e+00	0	0.000000e+00
4.200000e-02	3.900000e+00	0	0.000000e+00
4.200000e-02	3.700000e+00	0	0.000000e+00
4.200000e-02	3.500000e+00	0	0.000000e+00
4.200000e-02	3.300000e+00	0	0.000000e+00
4.200000e-02	3.100000e+00	0	0.000000e+00
4.200000e-02	2.900000e+00	0	0.000000e+00
4.200000e-02	2.700000e+00	0	0.000000e+00
4.200000e-02	2.500000e+00	0	0.000000e+00
4.200000e-02	2.300000e+00	0	0.000000e+00
4.200000e-02	2.100000e+00	0	0.000000e+00
4.200000e-02	1.900000e+00	0	0.000000e+00
4.200000e-02	1.700000e+00	0	0.000000e+00
4.200000e-02	1.500000e+00	0	0.000000e+00
4.200000e-02	1.300000e+00	0	0.000000e+00
4.200000e-02	1.100000e+00	0	0.000000e+00
4.200000e-02	9.000000e-01	0	0.000000e+00
4.200000e-02	7.000000e-01	0	0.000000e+00
4.200000e-02	5.000000e-01	0	0.000000e+00
4.200000e-02	3.000000e-01	0	0.000000e+00
4.200000e-02	1.000000e-01	321088	1.000000e+00
4.200000e-02	1.000000e-01	0	0.000000e+00
4.200000e-02	3.000000e-01	0	0.000000e+00
4.200000e-02	5.000000e-01	0	0.000000e+00
4.200000e-02	7.000000e-01	0	0.000000e+00
4.200000e-02	9.000000e-01	0	0.000000e+00
4.200000e-02	1.100000e+00	0	0.000000e+00
4.200000e-02	1.300000e+00	0	0.000000e+00
4.200000e-02	1.500000e+00	0	0.000000e+00
4.200000e-02	1.700000e+00	0	0.000000e+00
4.200000e-02	1.900000e+00	0	0.000000e+00
4.200000e-02	2.100000e+00	0	0.000000e+00
4.200000e-02	2.300000e+00	0	0.000000e+00
4.200000e-02	2.500000e+00	0	0.000000e+00
4.200000e-02	2.700000e+00	0	0.000000e+00
4.200000e-02	2.900000e+00	0	0.000000e+00
4.200000e-02	3.100000e+00	0	0.000000e+00
4.200000e-02	3.300000e+00	0	0.000000e+00
4.200000e-02	3.500000e+00	0	0.000000e+00
4.200000e-02	3.700000e+00	0	0.000000e+00
4.200000e-02	3.900000e+00	0	0.000000e+00
4.200000e-02	4.100000e+00	0	0.000000e+00
4.200000e-02	4.300000e+00	0	0.000000e+00
4.200000e-02	4.500000e+00	0	0.000000e+00
4.200000e-02	4.700000e+00	0	0.000000e+00
4.200000e-02	4.900000e+00	0	0.000000e+00
4.200000e-02	5.100000e+00	0	0.000000e+00
4.200000e-02	5.300000e+00	0	0.000000e+00
4.200000e-02	5.500000e+00	0	0.000000e+00
4.200000e-02	5.700000e+00	0	0.000000e+00
4.200000e-02	5.900000e+00	0	0.000000e+00
4.200000e-02	6.100000e+00	0	0.000000e+00
4.200000e-02	6.300000e+00	0	0.000000e+00
4.200000e-02	6.500000e+00	0	0.000000e+00
4.200000e-02	6.700000e+00	0	0.000000e+00
4.200000e-02	6.900000e+00	0	0.000000e+00
4.200000e-02	7.100000e+00	0	0.000000e+00
4.200000e-02	7.300000e+00	0	0.000000e+00
4.200000e-02	7.500000e+00	0	0.000000e+00
4.200000e-02	7.700000e+00	0	0.000000e+00
4.200000e-02	7.900000e+00	0	0.000000e+00
4.200000e-02	8.100000e+00	0	0.000000e+00
4.200000e-02	8.300000e+00	0	0.000000e+00
4.200000e-02	8.500000e+00	0	0.000000e+00
4.200000e-02	8.700000e+00	0	0.000000e+00
4.200000e-02	8.900000e+00	0	0.000000e+00
4.200000e-02	9.100000e+00	0	0.000000e+00
4.200000e-02	9.300000e+00	0	0.000000e+00
4.200000e-02	9.500000e+00	0	0.000000e+00
4.200000e-02	9.700000e+00	0	0.000000e+00
4.200000e-02	9.900000e+00	0	0.000000e+00
4.400000e-02	9.900000e+00	0	0.000000e+00
4.400000e-02	9.700000e+00	0	0.000000e+00
4.400000e-02	9.500000e+00	0	0.000000e+00
4.400000e-02	9.300000e+00	0	0.000000e+00
4.400000e-02	9.100000e+00	0	0.000000e+00
4.400000e-02	8.900000e+00	0	0.000000e+00
4.400000e-02	8.700000e+00	0	0.000000e+00
4.400000e-02	8.500000e+00	0	0.000000e+00
4.400000e-02	8.300000e+00	0	0.000000e+00
4.400000e-02	8.100000e+00	0	0.000000e+00
4.400000e-02	7.900000e+00	0	0.000000e+00
4.400000e-02	7.700000e+00	0	0.000000e+00
4.400000e-02	7.500000e+00	0	0.000000e+00
4.400000e-02	7.300000e+00	0	0.000000e+00
4.400000e-02	7.100000e+00	0	0.000000e+00
4.400000e-02	6.900000e+00	0	0.000000e+00
4.400000e-02	6.700000e+00	0	0.000000e+00
4.400000e-02	6.500000e+00	0	0.000000e+00
4.400000e-02	6.300000e+00	0	0.000000e+00
4.400000e-02	6.100000e+00	0	0.000000e+00
4.400000e-02	5.900000e+00	0	0.000000e+00
4.400000e-02	5.700000e+00	0	0.000000e+00
4.400000e-02	5.500000e+00	0	0.000000e+00
4.400000e-02	5.300000e+00	0	0.000000e+00
4.400000e-02	5.100000e+00	0	0.000000e+00
4.400000e-02	4.900000e+00	0	0.000000e+00
4.400000e-02	4.700000e+00	0	0.000000e+00
4.400000e-02	4.500000e+00	0	0.000000e+00
4.400000e-02	4.300000e+00	0	0.000000e+00
4.400000e-02	4.100000e+00	0	0.000000e+00
4.400000e-02	3.900000e+00	0	0.000000e+00
4.400000e-02	3.700000e+00	0	0.000000e+00
4.400000e-02	3.500000e+00	0	0.000000e+00
4.400000e-02	3.300000e+00	0	0.000000e+00
4.400000e-02	3.100000e+00	0	0.000000e+00
4.400000e-02	2.900000e+00	0	0.000000e+00
4.400000e-02	2.700000e+00	0	0.000000e+00
4.400000e-02	2.500000e+00	0	0.000000e+00
4.400000e-02	2.300000e+00	0	0.000000e+00
4.400000e-02	2.100000e+00	0	0.000000e+00
4.400000e-02	1.900000e+00	0	0.000000e+00
4.400000e-02	1.700000e+00	0	0.000000e+00
4.400000e-02	1.500000e+00	0	0.000000e+00
4.400000e-02	1.300000e+00	0	0.000000e+00
4.400000e-02	1.100000e+00	0	0.000000e+00
4.400000e-02	9.000000e-01	0	0.000000e+00
4.400000e-02	7.000000e-01	0	0.000000e+00
4.400000e-02	5.000000e-01	0	0.000000e+00
4.400000e-02	3.000000e-01	0	0.000000e+00
4.400000e-02	1.000000e-01	0	0.000000e+00
4.400000e-02	1.000000e-01	321088	1.000000e+00
4.400000e-02	3.000000e-01	0	0.000000e+00
4.400000e-02	5.000000e-01	0	0.000000e+00
4.400000e-02	7.000000e-01	0	0.000000e+00
4.400000e-02	9.000000e-01	0	0.000000e+00
4.400000e-02	1.100000e+00	0	0.000000e+00
4.400000e-02	1.300000e+00	0	0.000000e+00
4.400000e-02	1.500000e+00	0	0.000000e+00
4.400000e-02	1.700000e+00	0	0.000000e+00
4.400000e-02	1.900000e+00	0	0.000000e+00
4.400000e-02	2.100000e+00	0	0.000000e+00
4.400000e-02	2.300000e+00	0	0.000000e+00
4.400000e-02	2.500000e+00	0	0.000000e+00
4.400000e-02	2.700000e+00	0	0.000000e+00
4.400000e-02	2.900000e+00	0	0.000000e+00
4.400000e-02	3.100000e+00	0	0.000000e+00
4.400000e-02	3.300000e+00	0	0.000000e+00
4.400000e-02	3.500000e+00	0	0.000000e+00
4.400000e-02	3.700000e+00	0	0.000000e+00
4.400000e-02	3.900000e+00	0	0.000000e+00
4.400000e-02	4.100000e+00	0	0.000000e+00
4.400000e-02	4.300000e+00	0	0.000000e+00
4.400000e-02	4.500000e+00	0	0.000000e+00
4.400000e-02	4.700000e+00	0	0.000000e+00
4.400000e-02	4.900000e+00	0	0.000000e+00
4.400000e-02	5.100000e+00	0	0.000000e+00
4.400000e-02	5.300000e+00	0	0.000000e+00
4.400000e-02	5.500000e+00	0	0.000000e+00
4.400000e-02	5.700000e+00	0	0.000000e+00
4.400000e-02	5.900000e+00	0	0.000000e+00
4.400000e-02	6.100000e+00	0	0.000000e+00
4.400000e-02	6.300000e+00	0	0.000000e+00
4.400000e-02	6.500000e+00	0	0.000000e+00
4.400000e-02	6.700000e+00	0	0.000000e+00
4.400000e-02	6.900000e+00	0	0.000000e+00
4.400000e-02	7.100000e+00	0	0.000000e+00
4.400000e-02	7.300000e+00	0	0.000000e+00
4.400000e-02	7.500000e+00	0	0.000000e+00
4.400000e-02	7.700000e+00	0	0.000000e+00
4.400000e-02	7.900000e+00	0	0.000000e+00
4.400000e-02	8.100000e+00	0	0.000000e+00
4.400000e-02	8.300000e+00	0	0.000000e+00
4.400000e-02	8.500000e+00	0	0.000000e+00
4.400000e-02	8.700000e+00	0	0.000000e+00
4.400000e-02	8.900000e+00	0	0.000000e+00
4.400000e-02	9.100000e+00	0	0.000000e+00
4.400000e-02	9.300000e+00	0	0.000000e+00
4.400000e-02	9.500000e+00	0	0.000000e+00
4.400000e-02	9.700000e+00	0	0.000000e+00
4.400000e-02	9.900000e+00	0	0.000000e+00
4.600000e-02	9.900000e+00	0	0.000000e+00
4.600000e-02	9.700000e+00	0	0.000000e+00
4.600000e-02	9.500000e+00	0	0.000000e+00
4.600000e-02	9.300000e+00	0	0.000000e+00
4.600000e-02	9.100000e+00	0	0.000000e+00
4.600000e-02	8.900000e+00	0	0.000000e+00
4.600000e-02	8.700000e+00	0	0.000000e+00
